date_operation,libelle,debit,credit
date_operation,libelle,debit,credit
2023-10-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,
2023-10-06,CARTE XX XX CHEZ LUC XX,-10.00,
2023-10-06,PRELEVEMENT XX TELEPHONE XX XX,-13.58,
2023-10-05,CARTE XX XX XX XX XX XX,-10.64,
2023-10-05,CARTE XX XX XX XX,-4.80,
2023-10-03,CARTE XX XX LA CCNCF XX,-67.68,
2023-10-02,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-09-30,XX XX VIREMENT XX XX XX,-36.00,
2023-09-29,DON XX XX XX XX XX XX XX,-1.76,
2023-09-26,CARTE XX XX TOUPTIPRI XX,-2.93,
2023-09-26,CARTE XX XX TOUPTIPRI XX,-10.36,
2023-09-26,RETRAIT XX XX XX,-320.00,
2023-09-26,CARTE XX XX XX XX XX,-1.20,
2023-09-25,PRELEVEMENT XX XX XX XX XX XX XX XX,-593.60,
2023-09-25,CARTE XX XX CHEZ LUC XX,-8.52,
2023-09-25,CARTE XX XX XX XX XX XX,-7.12,
2023-09-25,CARTE XX XX XX XX XX,-23.33,
2023-09-25,CARTE XX XX XX XX XX,-9.31,
2023-09-25,CARTE XX XX XX XX XX XX,-12.00,
2023-09-25,CARTE XX XX XX XX,-40.00,
2023-09-22,CARTE XX XX XX XX,-4.00,
2023-09-22,CARTE XX XX XX XX XX,-5.60,
2023-09-21,CARTE XX XX XX XX XX,-10.45,
2023-09-20,CARTE XX XX TOUPTIPRI XX,-2.56,
2023-09-20,CARTE XX XX XX XX,-30.37,
2023-09-20,CARTE XX XX XX XX XX,-8.60,
2023-09-20,CARTE XX XX XX XX XX XX,-2.56,
2023-09-18,CARTE XX XX LA LOUVE XX XX,-20.59,
2023-09-18,CARTE XX XX XX XX,-1.60,
2023-09-18,CARTE XX XX XX XX XX,-0.96,
2023-09-18,CARTE XX XX XX XX XX,-5.20,
2023-09-15,VIREMENT PERMANENT LOYER,-345.00,
2023-09-15,VIREMENT XX XX XX XX XX XX XX XX XX,,39.82
2023-09-14,CARTE XX XX LA CCNCF XX,-47.61,
2023-09-12,CARTE XX XX LA CCNCF XX XX,-11.25,
2023-09-12,CARTE XX XX XX XX XX,-4.00,
2023-09-12,CARTE XX XX L'EPICERIE DEMBAS XX XX,-19.61,
2023-09-11,CARTE XX XX XX XX XX XX,-1.44,
2023-09-11,CARTE XX XX XX XX,-9.60,
2023-09-11,CARTE XX XX XX XX,-12.00,
2023-09-11,CARTE XX XX XX XX XX XX,-1.44,
2023-09-11,CARTE XX XX TOUPTIPRI XX,-9.60,
2023-09-08,CARTE XX XX XX XX XX XX,-4.00,
2023-09-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-5.57,
2023-09-08,CARTE XX XX XX XX XX,-0.80,
2023-09-07,CARTE XX XX XX XX,-11.20,
2023-09-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,
2023-09-06,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.12,
2023-09-05,CARTE XX XX XX XX XX,-0.80,
2023-09-05,CARTE XX XX XX XX XX,-6.39,
2023-09-05,PRELEVEMENT XX TELEPHONE XX XX,-6.38,
2023-09-04,CARTE XX XX TOUPTIPRI XX,-13.59,
2023-09-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-09-04,CARTE XX XX RAPT XX,-75.20,
2023-09-04,CARTE XX XX CHEZ LUC XX,-10.40,
2023-09-04,CARTE XX XX XX XX,-14.39,
2023-09-04,CARTE XX XX XX XX,-3.60,
2023-08-31,DON XX XX XX XX XX XX XX,-2.28,
2023-08-31,CARTE XX XX XX XX XX,-2.44,
2023-08-31,XX XX VIREMENT XX XX XX,-36.00,
2023-08-31,CARTE XX XX LA LOUVE XX XX,-26.19,
2023-08-29,CARTE XX XX XX XX,-2.45,
2023-08-28,CARTE XX XX XX XX XX,-12.00,
2023-08-28,CARTE XX XX XX XX XX XX,-43.60,
2023-08-28,RETRAIT XX XX XX,-32.00,
2023-08-28,CARTE XX XX LA LOUVE XX XX,-29.18,
2023-08-28,CARTE XX XX XX XX XX,-9.80,
2023-08-25,CARTE XX XX XX XX XX,-6.40,
2023-08-25,CARTE XX XX XX XX,-2.01,
2023-08-25,CARTE XX XX VELOC XX XX,-5.00,
2023-08-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.97,
2023-08-22,CARTE XX XX LES ANCIENS ROBINSON XX,-10.91,
2023-08-22,CARTE XX XX XX XX XX,-0.80,
2023-08-22,CARTE XX XX XX XX XX,-3.78,
2023-08-21,CARTE XX XX XX XX XX,-1.68,
2023-08-21,CARTE XX XX CHEZ LUC XX,-12.84,
2023-08-21,CARTE XX XX XX XX XX,-10.23,
2023-08-21,CARTE XX XX XX XX XX,-7.12,
2023-08-18,CARTE XX XX XX XX,-4.79,
2023-08-18,CARTE XX XX XX XX XX XX,-2.40,
2023-08-17,CARTE XX XX LES ANCIENS ROBINSON XX,-28.11,
2023-08-17,CARTE XX XX XX XX XX XX,-0.80,
2023-08-17,CARTE XX XX XX XX XX XX,-2.00,
2023-08-17,CARTE XX XX XX XX XX XX,-2.00,
2023-08-16,CARTE XX XX XX XX XX,-23.20,
2023-08-16,CARTE XX XX XX XX XX,-3.92,
2023-08-16,CARTE XX XX XX XX XX XX,-53.76,
2023-08-15,VIREMENT PERMANENT LOYER,-345.00,
2023-08-14,CARTE XX XX XX XX XX,-17.44,
2023-08-14,CARTE XX XX CHEZ LUC XX,-10.40,
2023-08-14,CARTE XX XX XX XX XX XX,-4.00,
2023-08-14,CARTE XX XX XX XX XX XX,-3.20,
2023-08-14,CARTE XX XX XX XX XX XX,-2.40,
2023-08-14,CARTE XX XX XX XX,-11.70,
2023-08-10,CARTE XX XX XX XX XX XX XX XX,-3.28,
2023-08-09,CARTE XX XX XX XX XX,-8.00,
2023-08-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,
2023-08-08,CARTE XX XX XX XX XX XX XX XX,-0.96,
2023-08-08,CARTE XX XX XX XX XX XX XX XX,-1.19,
2023-08-08,CARTE XX XX XX XX XX XX XX XX,-0.96,
2023-08-07,CARTE XX XX XX XX XX,-1.60,
2023-08-07,PRELEVEMENT XX TELEPHONE XX XX,-7.46,
2023-08-07,CARTE XX XX XX XX XX,-1.60,
2023-08-07,CARTE XX XX XX XX XX,-10.88,
2023-08-07,CARTE XX XX LES ANCIENS ROBINSON XX,-21.73,
2023-08-07,CARTE XX XX XX XX XX XX,-2.00,
2023-08-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,
2023-08-04,CARTE XX XX XX XX XX,-17.20,
2023-08-03,CARTE XX XX CHEZ LUC XX,-10.20,
2023-08-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-08-03,CARTE XX XX XX XX,-14.39,
2023-08-03,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.51,
2023-08-02,CARTE XX XX RAPT XX,-75.20,
2023-08-01,CARTE XX XX L'EPICERIE DEMBAS XX XX,-9.82,
2023-07-31,XX XX VIREMENT XX XX XX,-36.00,
2023-07-31,CARTE XX XX XX XX XX XX,-8.00,
2023-07-31,CARTE XX XX XX XX XX XX XX,-32.44,
2023-07-31,CARTE XX XX LES ANCIENS ROBINSON XX,-0.94,
2023-07-31,DON XX XX XX XX XX XX XX,-1.44,
2023-07-31,CARTE XX XX LA LOUVE XX XX,-23.43,
2023-07-31,CARTE XX XX XX XX XX,-9.78,
2023-07-31,CARTE XX XX XX XX XX XX,-2.40,
2023-07-31,CARTE XX XX XX XX XX XX,-2.40,
2023-07-31,CARTE XX XX XX XX,-18.40,
2023-07-28,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.20,
2023-07-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-8.14,
2023-07-26,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,
2023-07-25,CARTE XX XX LES ANCIENS ROBINSON XX,-60.16,
2023-07-25,VIREMENT XX XX XX XX XX XX XX,,1071.60
2023-07-24,CARTE XX XX XX XX XX,-20.80,
2023-07-24,CARTE XX XX CHEZ LUC XX,-9.20,
2023-07-24,CARTE XX XX XX XX XX XX,-4.80,
2023-07-24,CARTE XX XX XX XX XX,-9.60,
2023-07-24,RETRAIT XX XX XX,-32.00,
2023-07-24,CARTE XX XX XX XX XX,-4.88,
2023-07-21,CARTE XX XX XX XX,-13.60,
2023-07-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-6.49,
2023-07-21,CARTE XX XX XX XX XX,-4.80,
2023-07-20,CARTE XX XX LA CCNCF XX XX,-190.80,
2023-07-19,CARTE XX XX XX XX XX,-4.88,
2023-07-19,CARTE XX XX XX XX,-104.00,
2023-07-19,CARTE XX XX XX XX,-12.48,
2023-07-15,VIREMENT PERMANENT LOYER,-345.00,
2023-07-13,CARTE XX XX TOUPTIPRI XX,-9.88,
2023-07-12,CARTE XX XX XX XX,-8.00,
2023-07-11,CARTE XX XX CHEZ LUC XX,-14.40,
2023-07-10,CARTE XX XX LA CCNCF XX,-53.10,
2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.53,
2023-07-10,CARTE XX XX XX XX XX,-9.52,
2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.08,
2023-07-07,CARTE XX XX XX XX XX,-29.20,
2023-07-06,CARTE XX XX XX XX XX,-14.62,
2023-07-06,PRELEVEMENT XX TELEPHONE XX XX,-36.48,
2023-07-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,
2023-07-05,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-07-03,CARTE XX XX XX XX XX,-19.93,
2023-07-03,XX XX CARTE XX XX XX,-13.06,
2023-07-03,CARTE XX XX XX XX,-14.39,
2023-07-03,CARTE XX XX XX XX,-1.12,
2023-07-03,CARTE XX XX XX XX,-8.80,
2023-07-03,CARTE XX XX RAPT XX,-73.00,
2023-07-03,CARTE XX XX XX XX XX,-48.00,
2023-07-03,RETRAIT XX XX XX,-40.00,
2023-07-03,CARTE XX XX RAPT XX,-73.00,
2023-07-03,CARTE XX XX XX XX XX XX XX XX,-602.27,
2023-06-30,CARTE XX XX LA CCNCF XX XX,-23.85,
2023-06-30,DON XX XX XX XX XX XX XX,-1.76,
2023-06-30,XX XX VIREMENT XX XX XX,-36.00,
2023-06-28,CARTE XX XX LES ANCIENS ROBINSON XX,-12.49,
2023-06-28,CARTE XX XX XX XX XX,-7.12,
2023-06-27,RETRAIT XX XX XX,-40.00,
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.44,
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.95,
2023-06-26,CARTE XX XX XX XX XX XX,-8.00,
2023-06-26,CARTE XX XX TOUPTIPRI XX,-6.60,
2023-06-26,CARTE XX XX LA LOUVE XX XX,-27.68,
2023-06-26,CARTE XX XX XX XX XX,-17.20,
2023-06-26,CARTE XX XX XX XX XX,-29.52,
2023-06-26,CARTE XX XX XX XX,-96.00,
2023-06-26,CARTE XX XX XX XX XX XX,-24.48,
2023-06-26,CARTE XX XX XX XX,-183.99,
2023-06-23,CARTE XX XX XX XX XX,-19.84,
2023-06-23,CARTE XX XX XX XX XX XX,-19.36,
2023-06-23,CARTE XX XX XX XX XX,-10.40,
2023-06-22,CARTE XX XX XX XX XX,-8.80,
